1 18391.346 18732.817 18704.205 12654.306
2 9206.711 9428.082 9450.064 6325.557
3 6132.035 6435.220 6446.825 4413.906
4 4603.701 4716.049 4876.716 3232.502
5 3685.301 3822.539 3821.138 2645.876
6 3070.307 3262.269 3243.105 2206.390
7 2768.493 2925.252 2931.112 2047.691
8 2320.666 2364.861 2674.957 1625.005
9 2165.673 2340.902 2346.845 1614.160
10 1855.425 2064.438 2062.570 1471.738
11 1707.836 1769.619 1773.202 1188.833
12 1548.353 1778.889 1785.034 1181.644
13 2343.951 2400.497 1812.327 1250.857
14 2726.931 2811.946 1840.363 1251.945
15 2603.573 2791.043 1844.088 1270.388
16 2571.904 2561.119 1858.772 1243.707
17 2324.909 2462.321 1813.731 1287.296
18 2252.455 2329.432 1806.952 1245.117
19 2147.460 2307.328 1805.153 1243.497
20 2008.421 2238.603 1803.236 1233.623
21 1898.333 1994.640 1802.612 1258.261
22 1762.419 1811.422 1805.184 1227.757
23 1690.588 1815.891 1803.773 1226.666
24 1645.825 1817.733 1869.686 1228.898
25 2058.902 2164.527 1839.941 1324.584
26 2215.620 2257.584 1831.792 1340.194
27 2130.209 2211.653 1821.450 1322.425
28 2123.226 2180.852 1833.241 1311.517
29 2140.025 2208.073 1814.564 1328.684
30 2093.372 2122.513 1830.366 1300.400
31 2037.415 2076.094 1806.155 1330.895
32 1960.183 1940.344 1818.530 1300.867
33 1920.787 1923.320 1809.982 1301.549
34 1864.769 1936.385 1842.250 1304.741
35 1808.019 1922.902 1800.961 1285.486
36 1748.065 1933.684 1803.740 1280.654
37 1830.567 1928.460 1804.170 1252.017
38 1819.500 1900.051 1791.180 1276.358
39 1848.692 1926.343 1810.009 1284.629
40 1871.699 1937.802 1808.090 1275.004
41 1873.004 1968.808 1810.144 1271.365
42 1836.000 1935.573 1798.110 1272.909
43 1850.219 1984.769 1813.264 1268.570
44 1791.005 1977.626 1818.800 1266.101
45 1822.116 1962.013 1797.328 1289.404
46 1816.140 1994.737 1808.299 1275.518
47 1762.983 2003.932 1802.484 1252.096
48 1805.711 2006.454 1810.978 1247.552
49 1776.572 2006.295 1795.742 1244.612
50 1861.756 1930.147 1798.163 1259.903
51 1830.556 1957.752 1806.675 1259.873
52 1844.616 1959.577 1819.179 1277.140
53 1838.132 2021.724 1812.288 1273.123
54 1825.732 1967.923 1821.624 1274.351
55 1842.195 1933.395 1845.664 1279.190
56 1830.267 1937.469 1808.840 1285.102
57 1840.053 1944.439 1820.706 1252.835
58 1790.426 1908.011 1814.636 1276.062
59 1812.433 1871.398 1820.202 1251.316
60 1798.765 1877.180 1832.986 1261.734
61 1806.194 1867.398 1806.815 1289.816
62 1822.163 1813.725 1859.605 1277.298
63 1796.691 1791.968 1820.203 1285.309
64 1825.930 1801.806 1816.001 1285.531
65 1784.133 1786.357 1851.556 1270.043
66 1788.715 1834.593 1825.723 1288.906
67 1800.811 1812.350 1872.631 1303.240
68 1788.662 1813.340 1850.744 1290.191
69 1802.955 1786.185 1824.849 1309.178
70 1785.506 1808.442 1867.694 1298.573
71 1767.739 1796.578 1839.988 1262.603
72 1822.515 1776.988 1856.590 1279.180
73 1804.406 1832.985 1814.894 1268.705
74 1782.657 1785.954 1848.665 1338.095
75 1813.577 1798.729 1860.024 1297.517
76 1787.019 1800.043 1865.792 1280.072
77 1783.948 1803.692 1824.322 1280.978
78 1785.784 1803.620 1868.953 1268.901
79 1790.600 1797.537 1829.180 1324.770
80 1764.042 1786.841 1863.158 1311.616
81 1780.213 1804.498 1827.091 1343.367
82 1769.641 1797.912 1866.575 1315.687
83 1764.766 1769.974 1868.939 1284.528
84 1800.668 1783.362 1866.022 1320.589
85 1761.451 1809.253 1885.294 1319.633
86 1752.537 1814.895 1864.908 1302.216
87 1782.010 1779.283 1875.780 1317.304
88 1791.966 1796.113 1842.137 1293.162
89 1757.789 1790.431 1852.858 1313.664
90 1750.199 1788.818 1908.626 1291.802
91 1746.939 1827.775 1865.911 1292.984
92 1781.535 1801.708 1903.486 1306.232
93 1753.962 1810.869 1857.015 1302.964
94 1800.590 1795.430 1859.779 1291.564
95 1760.366 1799.659 1926.735 1297.255
96 1759.705 1792.176 1884.008 1354.582
97 1751.308 1799.292 1908.507 1310.998
98 1783.193 1807.257 1863.817 1341.256
99 1763.869 1788.626 2441.713 2198.223
100 1850.403 2485.471 2864.494 1292.924
